Date,Day,High T,Low T,Precip,Snow,Snow Depth
1/1/10,1,41,19,0,0,5
1/2/10,2,47,18,0,0,4
1/3/10,3,39,22,0,0,4
1/4/10,4,40,16,0,0,4
1/5/10,5,48,22,0,0,4
1/6/10,6,46,8,0.12,2.6,7
1/7/10,7,16,-7,0.03,0.9,6
1/8/10,8,30,-4,0,0,6
1/9/10,9,49,15,0,0,5
1/10/10,10,53,21,0,0,4
1/11/10,11,51,23,0,0,4
1/12/10,12,61,23,0,0,4
1/13/10,13,58,37,0,0,3
1/14/10,14,44,27,0,0,3
1/15/10,15,49,24,0,0,3
1/16/10,16,54,27,0,0,2
1/17/10,17,56,36,0,0,1
1/18/10,18,50,29,0,0,1
1/19/10,19,49,28,0,0,0.01
1/20/10,20,39,24,0,0,0.01
1/21/10,21,40,23,0,0,0.01
1/22/10,22,51,25,0,0,0.01
1/23/10,23,46,26,0,0,0.01
1/24/10,24,39,27,0,0,0.01
1/25/10,25,43,24,0,0,0.01
1/26/10,26,43,17,0,0,0.01
1/27/10,27,42,21,0,0,0.01
1/28/10,28,34,25,0.12,0.8,1
1/29/10,29,46,17,0.01,0.01,0.01
1/30/10,30,48,21,0,0,0.01
1/31/10,31,40,21,0,0,0.01
2/1/10,1,49,19,0,0,0.01
2/2/10,2,46,19,0,0,0.01
2/3/10,3,45,26,0,0,0.01
2/4/10,4,48,29,0.01,0.1,0.01
2/5/10,5,45,26,0,0,0.01
2/6/10,6,41,22,0,0,0.01
2/7/10,7,34,25,0.12,1.4,1
2/8/10,8,30,17,0.19,4.2,5
2/9/10,9,30,1,0.01,0.3,3
2/10/10,10,42,10,0,0,2
2/11/10,11,42,20,0,0,1
2/12/10,12,46,23,0,0,1
2/13/10,13,48,27,0,0,0.01
2/14/10,14,38,16,0.08,2.4,1
2/15/10,15,36,8,0,0,0.01
2/16/10,16,41,11,0,0,0.01
2/17/10,17,44,20,0,0,0.01
2/18/10,18,41,25,0.11,1.6,2
2/19/10,19,29,21,0.21,1.9,3
2/20/10,20,30,22,0.12,1.2,4
2/21/10,21,25,16,0.26,6,8
2/22/10,22,33,10,0.1,1.7,7
2/23/10,23,42,9,0,0,5
2/24/10,24,49,20,0,0,5
2/25/10,25,48,30,0.05,0.5,4
2/26/10,26,46,19,0.05,1,4
2/27/10,27,49,22,0,0,2
2/28/10,28,45,28,0.07,0.6,3
3/1/10,1,45,28,0.02,0.4,1
3/2/10,2,55,25,0,0,0.01
3/3/10,3,56,26,0,0,0.01
3/4/10,4,57,30,0,0,0.01
3/5/10,5,51,29,0,0,0.01
3/6/10,6,57,27,0,0,0.01
3/7/10,7,52,13,0,0,0
3/8/10,8,46,42,0.01,0,0.01
3/9/10,9,56,30,0,0,0.01
3/10/10,10,47,28,0.13,0.8,1
3/11/10,11,49,25,0.05,0.5,0
3/12/10,12,57,29,0,0,0
3/13/10,13,60,27,0,0,0
3/14/10,14,55,29,0.25,0.2,0.01
3/15/10,15,51,31,0.11,0.4,0
3/16/10,16,63,29,0,0,0
3/17/10,17,69,34,0,0,0
3/18/10,18,65,35,0,0,0
3/19/10,19,50,23,1.02,12.3,11
3/20/10,20,37,6,0.05,2.4,6
3/21/10,21,59,19,0,0,2
3/22/10,22,65,36,0,0,0.01
3/23/10,23,56,31,0.7,3.1,3
3/24/10,24,45,27,0.86,8.5,6
3/25/10,25,49,21,0,0,4
3/26/10,26,45,29,0.11,0.1,2
3/27/10,27,48,32,0.01,0.01,1
3/28/10,28,63,29,0,0,0.01
3/29/10,29,70,42,0,0,0
3/30/10,30,79,47,0,0,0
3/31/10,31,71,40,0,0,0
4/1/10,1,54,36,0.01,0.01,0
4/2/10,2,49,30,0,0,0
4/3/10,3,55,29,0.01,0.01,0
4/4/10,4,63,32,0.01,0.01,0
4/5/10,5,60,35,0,0,0
4/6/10,6,58,36,0.08,0.01,0
4/7/10,7,49,29,0.1,1.8,0
4/8/10,8,65,25,0,0,0
4/9/10,9,66,37,0,0,0
4/10/10,10,62,35,0,0,0
4/11/10,11,69,33,0,0,0
4/12/10,12,74,33,0,0,0
4/13/10,13,74,44,0,0,0
4/14/10,14,68,35,0,0,0
4/15/10,15,66,38,0,0,0
4/16/10,16,62,38,0,0,0
4/17/10,17,54,41,0.04,0,0
4/18/10,18,69,34,0,0,0
4/19/10,19,71,40,0,0,0
4/20/10,20,70,37,0,0,0
4/21/10,21,59,43,0.03,0,0
4/22/10,22,60,42,1.13,0,0
4/23/10,23,50,33,1.48,1,0
4/24/10,24,60,38,0.03,0,0
4/25/10,25,60,37,0.03,0,0
4/26/10,26,53,29,0.4,1.7,0
4/27/10,27,69,31,0,0,0
4/28/10,28,76,49,0,0,0
4/29/10,29,69,31,0.31,1.3,0
4/30/10,30,53,28,0.01,0.01,0
5/1/10,1,58,30,0,0,0
5/2/10,2,55,32,0.01,0,0
5/3/10,3,65,34,0,0,0
5/4/10,4,70,50,0.01,0,0
5/5/10,5,64,36,0,0,0
5/6/10,6,60,34,0.16,0,0
5/7/10,7,54,28,0.14,0.9,0
5/8/10,8,55,30,0,0,0
5/9/10,9,70,33,0.01,0,0
5/10/10,10,65,41,0,0,0
5/11/10,11,59,39,0.13,0,0
5/12/10,12,40,32,1.13,5.7,2
5/13/10,13,51,28,0.07,0.01,0.01
5/14/10,14,56,33,0.24,0,0
5/15/10,15,61,37,0.21,0,0
5/16/10,16,67,35,0,0,0
5/17/10,17,74,40,0,0,0
5/18/10,18,74,51,0.01,0,0
5/19/10,19,67,39,0.2,0,0
5/20/10,20,69,44,0,0,0
5/21/10,21,74,45,0,0,0
5/22/10,22,86,51,0,0,0
5/23/10,23,81,41,0,0,0
5/24/10,24,71,44,0,0,0
5/25/10,25,71,45,0,0,0
5/26/10,26,74,45,0,0,0
5/27/10,27,84,49,0.01,0,0
5/28/10,28,91,54,0,0,0
5/29/10,29,87,54,0.33,0,0
5/30/10,30,70,43,0.1,0,0
5/31/10,31,79,43,0,0,0
6/1/10,1,77,49,0,0,0
6/2/10,2,79,50,0,0,0
6/3/10,3,82,53,0,0,0
6/4/10,4,90,54,0,0,0
6/5/10,5,89,58,0,0,0
6/6/10,6,88,54,0,0,0
6/7/10,7,89,55,0,0,0
6/8/10,8,86,61,0.03,0,0
6/9/10,9,82,51,0,0,0
6/10/10,10,52,46,0.04,0,0
6/11/10,11,72,56,1.01,0,0
6/12/10,12,58,46,1.36,0,0
6/13/10,13,52,46,0.55,0,0
6/14/10,14,65,46,0.19,0,0
6/15/10,15,78,45,0,0,0
6/16/10,16,85,49,0,0,0
6/17/10,17,85,55,0,0,0
6/18/10,18,81,49,0,0,0
6/19/10,19,80,55,0.01,0,0
6/20/10,20,79,54,0.01,0,0
6/21/10,21,81,54,0.07,0,0
6/22/10,22,85,50,0,0,0
6/23/10,23,85,48,0,0,0
6/24/10,24,90,49,0,0,0
6/25/10,25,94,55,0,0,0
6/26/10,26,88,62,0.11,0,0
6/27/10,27,79,52,0,0,0
6/28/10,28,87,53,0,0,0
6/29/10,29,90,56,0,0,0
6/30/10,30,91,51,0,0,0
7/1/10,1,89,57,0.01,0,0
7/2/10,2,84,59,0.35,0,0
7/3/10,3,91,56,0.03,0,0
7/4/10,4,82,59,0.01,0,0
7/5/10,5,84,45,0.41,0,0
7/6/10,6,86,49,0,0,0
7/7/10,7,83,52,1.08,0,0
7/8/10,8,70,50,0.05,0,0
7/9/10,9,79,47,0,0,0
7/10/10,10,86,56,0.01,0,0
7/11/10,11,84,53,0.01,0,0
7/12/10,12,90,53,0,0,0
7/13/10,13,93,62,0,0,0
7/14/10,14,94,59,0.01,0,0
7/15/10,15,89,58,0.01,0,0
7/16/10,16,94,57,0,0,0
7/17/10,17,98,59,0,0,0
7/18/10,18,92,59,0.01,0,0
7/19/10,19,91,56,0.01,0,0
7/20/10,20,86,61,0.02,0,0
7/21/10,21,83,61,0.01,0,0
7/22/10,22,90,57,0.18,0,0
7/23/10,23,94,56,0,0,0
7/24/10,24,90,62,0.01,0,0
7/25/10,25,87,56,0,0,0
7/26/10,26,94,56,0,0,0
7/27/10,27,96,63,0.08,0,0
7/28/10,28,82,64,0.01,0,0
7/29/10,29,91,62,0.07,0,0
7/30/10,30,89,60,0,0,0
7/31/10,31,89,58,0,0,0
8/1/10,1,87,59,0.02,0,0
8/2/10,2,86,59,0.04,0,0
8/3/10,3,87,56,0.02,0,0
8/4/10,4,86,57,0.1,0,0
8/5/10,5,86,53,0.01,0,0
8/6/10,6,88,55,0.03,0,0
8/7/10,7,93,55,0.01,0,0
8/8/10,8,86,57,0.04,0,0
8/9/10,9,86,59,0.47,0,0
8/10/10,10,88,54,0,0,0
8/11/10,11,92,56,0,0,0
8/12/10,12,90,55,0,0,0
8/13/10,13,86,66,0,0,0
8/14/10,14,84,52,0,0,0
8/15/10,15,82,51,0,0,0
8/16/10,16,79,57,0.21,0,0
8/17/10,17,85,50,0.21,0,0
8/18/10,18,95,60,0,0,0
8/19/10,19,85,66,0.01,0,0
8/20/10,20,87,58,0.03,0,0
8/21/10,21,89,56,0.01,0,0
8/22/10,22,94,58,0,0,0
8/23/10,23,85,69,0.03,0,0
8/24/10,24,79,55,0.01,0,0
8/25/10,25,89,51,0,0,0
8/26/10,26,95,53,0,0,0
8/27/10,27,89,57,0.01,0,0
8/28/10,28,93,66,0,0,0
8/29/10,29,91,67,0,0,0
8/30/10,30,82,62,0.07,0,0
8/31/10,31,83,54,0,0,0
9/1/10,1,86,47,0,0,0
9/2/10,2,83,52,0,0,0
9/3/10,3,79,40,0,0,0
9/4/10,4,94,50,0,0,0
9/5/10,5,93,64,0,0,0
9/6/10,6,84,55,0,0,0
9/7/10,7,79,39,0,0,0
9/8/10,8,82,50,0.17,0,0
9/9/10,9,88,51,0.04,0,0
9/10/10,10,82,47,0,0,0
9/11/10,11,82,44,0,0,0
9/12/10,12,85,51,0,0,0
9/13/10,13,89,49,0,0,0
9/14/10,14,89,52,0,0,0
9/15/10,15,87,52,0,0,0
9/16/10,16,87,47,0,0,0
9/17/10,17,84,51,0,0,0
9/18/10,18,75,51,0.01,0,0
9/19/10,19,93,41,0,0,0
9/20/10,20,90,53,0,0,0
9/21/10,21,79,47,0,0,0
9/22/10,22,73,49,0.03,0,0
9/23/10,23,73,49,0,0,0
9/24/10,24,81,45,0,0,0
9/25/10,25,78,48,0,0,0
9/26/10,26,87,47,0,0,0
9/27/10,27,83,55,0,0,0
9/28/10,28,90,48,0,0,0
9/29/10,29,85,55,0,0,0
9/30/10,30,75,43,0,0,0
10/1/10,1,80,46,0,0,0
10/2/10,2,71,43,0,0,0
10/3/10,3,80,38,0,0,0
10/4/10,4,76,45,0.03,0,0
10/5/10,5,81,48,0,0,0
10/6/10,6,71,55,0,0,0
10/7/10,7,79,47,0.05,0,0
10/8/10,8,73,56,0.01,0,0
10/9/10,9,67,40,0,0,0
10/10/10,10,59,46,0.01,0,0
10/11/10,11,70,43,0.1,0,0
10/12/10,12,57,41,0.53,0,0
10/13/10,13,65,36,0,0,0
10/14/10,14,76,39,0,0,0
10/15/10,15,80,42,0,0,0
10/16/10,16,67,42,0,0,0
10/17/10,17,77,37,0.01,0,0
10/18/10,18,66,37,0.02,0,0
10/19/10,19,72,34,0.02,0,0
10/20/10,20,72,38,0,0,0
10/21/10,21,73,38,0,0,0
10/22/10,22,63,43,0.16,0,0
10/23/10,23,64,34,0.01,0,0
10/24/10,24,62,38,0,0,0
10/25/10,25,66,41,0.01,0.01,0
10/26/10,26,47,35,0,0,0
10/27/10,27,51,32,0,0,0
10/28/10,28,61,23,0,0,0
10/29/10,29,75,37,0,0,0
10/30/10,30,75,43,0,0,0
10/31/10,31,65,38,0,0,0
11/1/10,1,62,36,0.05,0,0
11/2/10,2,70,33,0,0,0
11/3/10,3,61,41,0,0,0
11/4/10,4,61,28,0,0,0
11/5/10,5,73,34,0,0,0
11/6/10,6,76,40,0,0,0
